,Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
0,2021-05-21T00:00:00.000Z,1008,5439556,58.49,1223,5114259,55.0
1,2021-05-22T00:00:00.000Z,139,5439695,58.5,323,5114582,55.0
2,2021-05-23T00:00:00.000Z,2198,5441893,58.52,3125,5117707,55.03
3,2021-05-24T00:00:00.000Z,1976,5443869,58.54,3461,5121168,55.07
4,2021-05-25T00:00:00.000Z,1650,5445519,58.56,2437,5123605,55.1
5,2021-05-26T00:00:00.000Z,1219,5446738,58.57,2324,5125929,55.12
6,2021-05-27T00:00:00.000Z,1636,5448374,58.59,2944,5128873,55.15
7,2021-05-28T00:00:00.000Z,616,5448990,58.6,1240,5130113,55.17
8,2021-05-29T00:00:00.000Z,104,5449094,58.6,161,5130274,55.17
9,2021-05-30T00:00:00.000Z,1546,5450640,58.61,1847,5132121,55.19
10,2021-05-31T00:00:00.000Z,1522,5452162,58.63,1948,5134069,55.21
11,2021-06-01T00:00:00.000Z,1177,5453339,58.64,1666,5135735,55.23
12,2021-06-02T00:00:00.000Z,1290,5454629,58.66,1433,5137168,55.24
13,2021-06-03T00:00:00.000Z,1504,5456133,58.67,1291,5138459,55.26
14,2021-06-04T00:00:00.000Z,926,5457059,58.68,546,5139005,55.26
15,2021-06-05T00:00:00.000Z,103,5457162,58.68,66,5139071,55.26
16,2021-06-06T00:00:00.000Z,4180,5461342,58.73,873,5139944,55.27
17,2021-06-07T00:00:00.000Z,4222,5465564,58.77,667,5140611,55.28
18,2021-06-08T00:00:00.000Z,3552,5469116,58.81,1019,5141630,55.29
19,2021-06-09T00:00:00.000Z,3454,5472570,58.85,1128,5142758,55.3
20,2021-06-10T00:00:00.000Z,3188,5475758,58.88,1122,5143880,55.31
21,2021-06-11T00:00:00.000Z,1241,5476999,58.9,406,5144286,55.32
22,2021-06-12T00:00:00.000Z,138,5477137,58.9,89,5144375,55.32
23,2021-06-13T00:00:00.000Z,3037,5480174,58.93,1165,5145540,55.33
24,2021-06-14T00:00:00.000Z,2882,5483056,58.96,1349,5146889,55.35
25,2021-06-15T00:00:00.000Z,2950,5486006,58.99,1181,5148070,55.36
26,2021-06-16T00:00:00.000Z,2561,5488567,59.02,831,5148901,55.37
27,2021-06-17T00:00:00.000Z,2548,5491115,59.05,1012,5149913,55.38
28,2021-06-18T00:00:00.000Z,1085,5492200,59.06,334,5150247,55.38
29,2021-06-19T00:00:00.000Z,141,5492341,59.06,78,5150325,55.38
30,2021-06-20T00:00:00.000Z,3225,5495566,59.1,1211,5151536,55.4
31,2021-06-21T00:00:00.000Z,5037,5500603,59.15,1055,5152591,55.41
32,2021-06-22T00:00:00.000Z,6751,5507354,59.22,908,5153499,55.42
33,2021-06-23T00:00:00.000Z,10544,5517898,59.34,1104,5154603,55.43
34,2021-06-24T00:00:00.000Z,11843,5529741,59.46,1302,5155905,55.44
35,2021-06-25T00:00:00.000Z,6916,5536657,59.54,768,5156673,55.45
36,2021-06-26T00:00:00.000Z,2186,5538843,59.56,112,5156785,55.45
37,2021-06-27T00:00:00.000Z,13524,5552367,59.71,3299,5160084,55.49
38,2021-06-28T00:00:00.000Z,14329,5566696,59.86,3472,5163556,55.53
39,2021-06-29T00:00:00.000Z,16500,5583196,60.04,3520,5167076,55.56
40,2021-06-30T00:00:00.000Z,16267,5599463,60.21,3191,5170267,55.6
41,2021-07-01T00:00:00.000Z,16676,5616139,60.39,3197,5173464,55.63
42,2021-07-02T00:00:00.000Z,9656,5625795,60.5,1399,5174863,55.65
43,2021-07-03T00:00:00.000Z,2589,5628384,60.52,238,5175101,55.65
44,2021-07-04T00:00:00.000Z,17625,5646009,60.71,3068,5178169,55.68
45,2021-07-05T00:00:00.000Z,17634,5663643,60.9,2867,5181036,55.71
46,2021-07-06T00:00:00.000Z,17696,5681339,61.09,3193,5184229,55.75
47,2021-07-07T00:00:00.000Z,15280,5696619,61.26,2499,5186728,55.78
48,2021-07-08T00:00:00.000Z,16384,5713003,61.43,2662,5189390,55.8
49,2021-07-09T00:00:00.000Z,10992,5723995,61.55,1305,5190695,55.82
50,2021-07-10T00:00:00.000Z,4880,5728875,61.61,303,5190998,55.82
51,2021-07-11T00:00:00.000Z,1387,5730262,61.62,2761,5193759,55.85
52,2021-07-12T00:00:00.000Z,2317,5732579,61.65,3496,5197255,55.89
53,2021-07-13T00:00:00.000Z,2843,5735422,61.68,5253,5202508,55.95
54,2021-07-14T00:00:00.000Z,2603,5738025,61.7,7319,5209827,56.02
55,2021-07-15T00:00:00.000Z,2861,5740886,61.73,9052,5218879,56.12
56,2021-07-16T00:00:00.000Z,1149,5742035,61.75,5721,5224600,56.18
57,2021-07-17T00:00:00.000Z,297,5742332,61.75,1297,5225897,56.2
58,2021-07-18T00:00:00.000Z,1977,5744309,61.77,9598,5235495,56.3
59,2021-07-19T00:00:00.000Z,0,5744309,61.77,3,5235498,56.3
