,0
0,Date
1,Total
2,Total_Male
3,Total_Female
4,Jews_and_Others_Total
5,Jews_and_Others_Male
6,Jews_and_Others_Female
7,Arabs_Total
8,Arabs_Male
9,Arabs_Female
10,Age_0-19_Female
11,Age_20-24_Female
12,Age_25-29_Female
13,Age_30-34_Female
14,Age_35-39_Female
15,Age_40-44_Female
16,Age_45-49_Female
17,Age_50-54_Female
18,Age_55-59_Female
19,Age_60-64_Female
20,Age_65-69_Female
21,Age_70-74_Female
22,Age_75-79_Female
23,Age_80-84_Female
24,Age_85-89_Female
25,Age_90__Female
