,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1,"אוכלוסייה, לפי מחוז ונפה, קבוצת אוכלוסייה, מין וגיל, סוף 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,הנתונים מוצגים במספרים מוחלטים.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.. = הנתונים קטנים מ-3 או שווים ל-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,אזהרה: בשימוש בנתונים יש להביא בחשבון שככל שהמספר קטן יותר - כך יורדת רמת המהימנות של האומדן ועולה הסבירות לטעות. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,קבוצת אוכלוסייה,מחוז,נפה,מין,גיל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,מחוז צפון,סך הכל,"סה""כ",1105517,25809.0,26079.0,25121.0,25445.0,24331,24082.0,24809.0,23818,23928.0,23392.0,23465,22925.0,22568.0,22078,21709,21078,21093,20914,21184,19736.0,19115.0,19128.0,19156.0,19331.0,19219,19457.0,18844,17811,17098.0,16460,15759,15692,15218,14700,14252,14203.0,14430,14167,13713,13709,13212,13702,13134,12934,12385,11862,12145,11721,11513,11179,10969,10682,8475,9074,9100,8611,7276,6406,5705,5564,5647,6171,5369,6272,5825,5678,5318,4641,4526,4425,3801,4697,3651,4251,3464.0,3607,3288,3252,3243,2605,2065,2077,1506,1529,945,998,1020,1025,1045,758,2143
18,,,,גברים,554208,13291.0,13440.0,12972.0,13050.0,12374,12460.0,12587.0,12369,12316.0,12144.0,12038,11683.0,11624.0,11424,10933,10806,10866,10648,10834,10150.0,9814.0,9773.0,9773.0,9642.0,9581,9822.0,9568,9132,8719.0,8431,8046,7902,7588,7309,7086,7145.0,7232,7004,6806,6769,6497,6699,6470,6454,6165,5814,5969,5966,5708,5606,5536,5310,4216,4517,4495,4287,3641,3226,2833,2743,2838,3003,2601,2975,2717,2657,2391,2126,2038,2002,1761,2065,1628,1707,1619.0,1514,1407,1335,1155,1064,865,853,685,559,412,452,417,408,403,295,953
19,,,,נשים,551309,12518.0,12639.0,12149.0,12395.0,11957,11622.0,12222.0,11449,11612.0,11248.0,11427,11242.0,10944.0,10654,10776,10272,10227,10266,10350,9586.0,9301.0,9355.0,9383.0,9689.0,9638,9635.0,9276,8679,8379.0,8029,7713,7790,7630,7391,7166,7058.0,7198,7163,6907,6940,6715,7003,6664,6480,6220,6048,6176,5755,5805,5573,5433,5372,4259,4557,4605,4324,3635,3180,2872,2821,2809,3168,2768,3297,3108,3021,2927,2515,2488,2423,2040,2632,2023,2544,1845.0,2093,1881,1917,2088,1541,1200,1224,821,970,533,546,603,617,642,463,1190
20,,,צפת,"סה""כ",92684,1923.0,2001.0,1939.0,1873.0,1904,1949.0,1743.0,1827,1843.0,1817.0,1787,1810.0,1801.0,1725,1788,1716,1802,1689,1713,1721.0,1781.0,1767.0,1612.0,1658.0,1606,1655.0,1599,1405,1215.0,1186,1092,1143,1079,1022,1010,1092.0,1068,1055,1011,1127,1096,1200,1173,1177,1129,1115,1099,1093,1069,1043,1054,1018,869,864,908,780,732,605,555,559,545,580,552,565,633,575,576,488,505,493,443,470,422,422,368.0,391,389,375,304,307,223,201,194,122,115,120,131,112,84,86,201
21,,,,גברים,46343,957.0,1032.0,976.0,948.0,977,989.0,907.0,963,947.0,960.0,929,909.0,955.0,893,882,861,907,855,883,881.0,871.0,899.0,854.0,855.0,827,825.0,812,747,645.0,613,577,584,544,529,461,507.0,511,510,515,564,538,585,598,585,571,548,521,554,547,504,542,517,451,411,445,369,348,304,273,261,263,278,279,267,301,287,270,231,228,246,187,202,187,191,175.0,167,174,157,127,118,91,73,107,52,48,46,65,30,34,32,97
22,,,,נשים,46341,966.0,969.0,963.0,925.0,927,960.0,836.0,864,896.0,857.0,858,901.0,846.0,832,906,855,895,834,830,840.0,910.0,868.0,758.0,803.0,779,830.0,787,658,570.0,573,515,559,535,493,549,585.0,557,545,496,563,558,615,575,592,558,567,578,539,522,539,512,501,418,453,463,411,384,301,282,298,282,302,273,298,332,288,306,257,277,247,256,268,235,231,193.0,224,215,218,177,189,132,128,87,70,67,74,66,82,50,54,104
23,,,כנרת,"סה""כ",93880,1846.0,1928.0,1809.0,1857.0,1931,1853.0,1911.0,2059,1922.0,1960.0,1895,1868.0,1954.0,1780,1868,1837,1895,1935,1993,1876.0,1831.0,1757.0,1647.0,1715.0,1675,1652.0,1614,1351,1341.0,1263,1155,1217,1174,1168,1130,1102.0,1231,1186,1090,1129,1176,1227,1183,1156,1144,1047,1173,1114,1055,1071,1075,1014,838,863,914,791,654,555,566,498,513,527,476,548,519,477,482,467,403,401,372,473,323,343,292.0,300,297,263,275,240,197,207,129,118,86,84,84,93,89,91,192
24,,,,גברים,47167,967.0,980.0,971.0,960.0,970,941.0,996.0,1001,998.0,1001.0,976,951.0,1046.0,905,954,964,944,983,1027,963.0,921.0,928.0,839.0,844.0,877,836.0,830,721,727.0,643,580,630,599,548,556,561.0,577,596,554,551,568,601,592,594,555,535,580,557,530,538,564,497,385,426,455,405,320,264,297,259,262,247,230,268,264,204,214,212,186,173,165,220,135,135,152.0,129,139,117,108,109,87,85,51,47,32,38,32,47,31,37,73
25,,,,נשים,46713,879.0,948.0,838.0,897.0,961,912.0,915.0,1058,924.0,959.0,919,917.0,908.0,875,914,873,951,952,966,913.0,910.0,829.0,808.0,871.0,798,816.0,784,630,614.0,620,575,587,575,620,574,541.0,654,590,536,578,608,626,591,562,589,512,593,557,525,533,511,517,453,437,459,386,334,291,269,239,251,280,246,280,255,273,268,255,217,228,207,253,188,208,140.0,171,158,146,167,131,110,122,78,71,54,46,52,46,58,54,119
26,,,יזרעאל,"סה""כ",397406,9364.0,9486.0,9201.0,9362.0,8865,8773.0,9043.0,8557,8548.0,8367.0,8402,8200.0,8072.0,8041,7882,7533,7371,7345,7551,6873.0,6605.0,6689.0,6729.0,6967.0,6789,6908.0,6552,6229,5987.0,5800,5718,5594,5389,5292,5147,5079.0,5198,5019,5045,4950,4701,4799,4604,4623,4416,4324,4322,4191,4111,3950,3820,3865,3035,3392,3384,3221,2702,2367,2056,2052,2126,2287,1978,2335,2202,2099,2001,1705,1666,1599,1456,1706,1330,1546,1275.0,1421,1164,1275,1159,924,807,796,554,553,353,353,375,378,417,263,846
