,date,amount,recovered,avg,sum,coronaEvents
477,2021-06-03 00:00:00+00:00,10,139,15,839542,
478,2021-06-04 00:00:00+00:00,31,11,15,839573,
479,2021-06-05 00:00:00+00:00,5,7,16,839578,
480,2021-06-06 00:00:00+00:00,4,56,15,839582,
481,2021-06-07 00:00:00+00:00,6,52,16,839588,
482,2021-06-08 00:00:00+00:00,30,17,14,839618,
483,2021-06-09 00:00:00+00:00,6,24,14,839624,
484,2021-06-10 00:00:00+00:00,18,30,13,839642,
485,2021-06-11 00:00:00+00:00,18,21,14,839660,
486,2021-06-12 00:00:00+00:00,5,14,12,839665,
487,2021-06-13 00:00:00+00:00,3,28,12,839668,
488,2021-06-14 00:00:00+00:00,25,23,12,839693,
489,2021-06-15 00:00:00+00:00,26,15,15,839719,ביטול חובת עטיית מסיכה בחללים סגורים
490,2021-06-16 00:00:00+00:00,13,9,14,839732,
491,2021-06-17 00:00:00+00:00,26,43,15,839758,
492,2021-06-18 00:00:00+00:00,35,11,16,839793,
493,2021-06-19 00:00:00+00:00,46,9,19,839839,
494,2021-06-20 00:00:00+00:00,49,86,24,839888,
495,2021-06-21 00:00:00+00:00,125,39,31,840013,
496,2021-06-22 00:00:00+00:00,110,9,45,840123,
497,2021-06-23 00:00:00+00:00,140,24,57,840263,
498,2021-06-24 00:00:00+00:00,229,44,75,840492,
499,2021-06-25 00:00:00+00:00,230,18,104,840722,החזרת חובת עטיית מסיכה בחללים סגורים
500,2021-06-26 00:00:00+00:00,116,15,132,840838,
501,2021-06-27 00:00:00+00:00,145,73,142,840983,
502,2021-06-28 00:00:00+00:00,288,58,156,841271,
503,2021-06-29 00:00:00+00:00,293,75,179,841564,
504,2021-06-30 00:00:00+00:00,309,92,205,841873,
505,2021-07-01 00:00:00+00:00,297,165,230,842170,
506,2021-07-02 00:00:00+00:00,328,137,239,842498,
507,2021-07-03 00:00:00+00:00,186,96,253,842684,
508,2021-07-04 00:00:00+00:00,346,285,263,843030,
509,2021-07-05 00:00:00+00:00,504,194,292,843534,
510,2021-07-06 00:00:00+00:00,527,177,323,844061,
511,2021-07-07 00:00:00+00:00,524,247,356,844585,
512,2021-07-08 00:00:00+00:00,466,331,387,845051,
513,2021-07-09 00:00:00+00:00,534,250,411,845585,
514,2021-07-10 00:00:00+00:00,261,132,441,845846,
515,2021-07-11 00:00:00+00:00,442,431,451,846288,
516,2021-07-12 00:00:00+00:00,761,283,465,847049,
517,2021-07-13 00:00:00+00:00,759,331,502,847808,
518,2021-07-14 00:00:00+00:00,770,456,535,848578,
519,2021-07-15 00:00:00+00:00,860,569,570,849438,
520,2021-07-16 00:00:00+00:00,1127,475,626,850565,
521,2021-07-17 00:00:00+00:00,431,200,711,850996,
522,2021-07-18 00:00:00+00:00,829,653,735,851825,
523,2021-07-19 00:00:00+00:00,351,127,791,852176,
