,name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
223,אריאל,1.7,ירוק,1.0,0.0036429872495,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,62.5146427176884,58.151112846544315,
224,בענה,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,51.85844911530697,45.469659185369906,0.0
225,חשמונאים,3.3,ירוק,7.5,0.0128205128205,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,99.0,91.8443696221474,
226,ירוחם,3.5,ירוק,6.6,0.0145454545454,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,59.62546816479401,53.95131086142322,
227,בית ג'ן,2.0,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,58.20527570055057,51.25318432081518,0.0
228,ערערה-בנגב,1.8,צהוב,0.5,0.006329113924,0.0, קטן מ-15 ,צהוב,2021-07-18 00:00:00+00:00,26.572318741088875,22.73855415324497,
229,בת חפר,4.3,ירוק,3.8,0.0066445182724,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,80.90185676392572,74.42212959454338,
230,קרני שומרון,6.9,ירוק,34.8,0.0374707259953,1.75,42,ירוק,2021-07-18 00:00:00+00:00,59.65023177412559,53.56089338390223,44.2
231,אעצם (שבט),2.0,כתום,0.0,0.0,0.0, 0 ,כתום,2021-07-18 00:00:00+00:00,7.813507785865658,6.68939463742744,0.0
232,סולם,2.0,ירוק,0.0,0.0,0.0, 0 ,ירוק,2021-07-18 00:00:00+00:00,67.6737160120846,61.027190332326285,0.0
233,ביר אל-מכסור,3.4,ירוק,9.3,0.0481283422459,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,60.15006681056635,55.432212971528415,
234,חריש,2.5,ירוק,3.1,0.0100502512562,-0.6296296296296999, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,41.90126478988168,38.53019175846593,
235,ביתר עילית,1.1,ירוק,0.3,0.0054054054054,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,24.338874659444997,18.503352529487575,
236,מוקייבלה,2.0,צהוב,0.0,0.0,0.0, 0 ,צהוב,2021-07-18 00:00:00+00:00,60.76624636275461,51.47914645974782,0.0
237,קלנסווה,1.3,ירוק,0.4,0.0019047619047,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,48.90716202973883,42.465169783988756,
238,סח'נין,1.9,ירוק,1.2,0.003879728419,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,60.369335816263195,52.59776536312849,
239,תל שבע,1.3,ירוק,0.5,0.0061728395061,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,26.231944637963867,22.920440295388044,
240,לפיד,4.5,ירוק,12.8,0.0196078431372,0.0, קטן מ-15 ,ירוק,2021-07-18 00:00:00+00:00,82.60127931769723,76.7590618336887,
