report_day,first,second,third
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,95.0,0.0,0.0
2020-12-20,159.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,35.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,17.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,66.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,15.0,0.0,0.0
2020-12-20,89.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,21.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,115.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,181.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,85.0,0.0,0.0
2020-12-20,155.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,372.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,674.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,142.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
